Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,1,NULL,NULL,NULL,NULL
2020-01-28,3,1,NULL,NULL,NULL
2020-01-29,0,1,NULL,NULL,NULL
2020-01-30,0,1,NULL,NULL,NULL
2020-01-31,1,1,NULL,NULL,NULL
2020-02-01,3,1,NULL,NULL,NULL
2020-02-02,2,1,NULL,NULL,NULL
2020-02-03,2,2,NULL,NULL,NULL
2020-02-04,0,1,NULL,NULL,NULL
2020-02-05,0,1,NULL,NULL,NULL
2020-02-06,0,1,NULL,NULL,NULL
2020-02-07,1,1,NULL,NULL,NULL
2020-02-08,0,1,NULL,NULL,NULL
2020-02-09,1,1,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,2,1,NULL,NULL,NULL
2020-02-12,0,1,NULL,NULL,NULL
2020-02-13,0,1,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,5,1,NULL,NULL,NULL
2020-02-27,5,1,NULL,NULL,NULL
2020-02-28,27,5,NULL,NULL,NULL
2020-02-29,13,7,NULL,NULL,NULL
2020-03-01,51,14,NULL,NULL,NULL
2020-03-02,33,19,NULL,NULL,NULL
2020-03-03,38,25,NULL,NULL,NULL
2020-03-04,74,34,NULL,NULL,NULL
2020-03-05,138,53,NULL,NULL,NULL
2020-03-06,239,84,NULL,NULL,NULL
2020-03-07,156,104,NULL,NULL,NULL
2020-03-08,107,112,NULL,NULL,NULL
2020-03-09,237,141,NULL,NULL,NULL
2020-03-10,157,158,NULL,NULL,NULL
2020-03-11,271,186,NULL,NULL,NULL
2020-03-12,802,281,NULL,NULL,NULL
2020-03-13,693,346,NULL,NULL,NULL
2020-03-14,733,429,NULL,NULL,NULL
2020-03-15,1043,562,NULL,NULL,NULL
2020-03-16,1174,696,NULL,NULL,NULL
2020-03-17,1144,837,NULL,NULL,NULL
2020-03-18,1042,947,NULL,NULL,NULL
2020-03-19,2801,1233,NULL,NULL,NULL
2020-03-20,2958,1556,NULL,NULL,NULL
2020-03-21,2705,1838,NULL,NULL,NULL
2020-03-22,1948,1967,NULL,NULL,NULL
2020-03-23,4062,2380,NULL,NULL,NULL
2020-03-24,4764,2897,NULL,NULL,NULL
2020-03-25,4118,3337,NULL,NULL,NULL
2020-03-26,4954,3644,NULL,NULL,NULL
2020-03-27,5780,4047,NULL,NULL,NULL
2020-03-28,6294,4560,NULL,NULL,NULL
2020-03-29,3965,4848,NULL,NULL,NULL
2020-03-30,4751,4947,NULL,NULL,NULL
2020-03-31,4615,4925,NULL,NULL,NULL
2020-04-01,5453,5116,NULL,NULL,NULL
2020-04-02,6156,5288,NULL,NULL,NULL
2020-04-03,6174,5344,NULL,NULL,NULL
2020-04-04,6082,5314,NULL,NULL,NULL
2020-04-05,5936,5595,NULL,NULL,NULL
2020-04-06,3677,5442,NULL,NULL,NULL
2020-04-07,3834,5330,NULL,NULL,NULL
2020-04-08,4003,5123,NULL,NULL,NULL
2020-04-09,4974,4954,NULL,NULL,NULL
2020-04-10,5323,4833,NULL,NULL,NULL
2020-04-11,4133,4554,NULL,NULL,NULL
2020-04-12,2821,4109,NULL,NULL,NULL
2020-04-13,2537,3946,NULL,NULL,NULL
2020-04-14,2082,3696,NULL,NULL,NULL
2020-04-15,2486,3479,NULL,NULL,NULL
2020-04-16,2866,3178,NULL,NULL,NULL
2020-04-17,3380,2901,NULL,NULL,NULL
2020-04-18,3609,2826,NULL,NULL,NULL
2020-04-19,2458,2774,NULL,NULL,NULL
2020-04-20,1775,2665,NULL,NULL,NULL
2020-04-21,1785,2623,NULL,NULL,NULL
2020-04-22,2237,2587,NULL,NULL,NULL
2020-04-23,2352,2514,NULL,NULL,NULL
2020-04-24,2337,2365,NULL,NULL,NULL
2020-04-25,2055,2143,NULL,NULL,NULL
2020-04-26,1737,2040,NULL,NULL,NULL
2020-04-27,1018,1932,NULL,NULL,NULL
2020-04-28,1144,1840,NULL,NULL,NULL
2020-04-29,1304,1707,NULL,NULL,NULL
2020-04-30,1478,1582,NULL,NULL,NULL
2020-05-01,1639,1482,NULL,NULL,NULL
2020-05-02,945,1324,NULL,NULL,NULL
2020-05-03,793,1189,NULL,NULL,NULL
2020-05-04,679,1140,NULL,NULL,NULL
2020-05-05,685,1075,NULL,NULL,NULL
2020-05-06,947,1024,NULL,NULL,NULL
2020-05-07,1284,996,NULL,NULL,NULL
2020-05-08,1209,935,NULL,NULL,NULL
2020-05-09,1251,978,NULL,NULL,NULL
2020-05-10,667,960,NULL,NULL,NULL
2020-05-11,357,914,NULL,NULL,NULL
