rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Faroe Islands,FRO,97.582,percent of population,2019.0
11,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Faroe Islands,FRO,37.328,per 100 people,2019.0
24,Demographics,Fixed telephone subscriptions,C2_Workplace closing,Faroe Islands,FRO,18021.0,number,2019.0
29,Demographics,Secure Internet servers ,C2_Workplace closing,Faroe Islands,FRO,4991.98816713916,per 1 million people,2019.0
36,Environment,Renewable energy consumption ,C2_Workplace closing,Faroe Islands,FRO,7.51358049162428,percent of total final energy consumption,2015.0
42,Health,Mortality due to COVID-19,C2_Workplace closing,Faroe Islands,FRO,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
49,Environment,CO2 emissions (kt),C2_Workplace closing,Faroe Islands,FRO,630.724,kt,2016.0
50,Demographics,Mobile cellular subscriptions,C2_Workplace closing,Faroe Islands,FRO,116.474,per 100 people,2019.0
69,Environment,CO2 emissions (metric tons per capita),C2_Workplace closing,Faroe Islands,FRO,13.09289,metric tons per capita,2016.0
73,Health,Prevalence of COVID-19,C2_Workplace closing,Faroe Islands,FRO,534.0,"Number (cumulative total by Dec 26,2020)",2020.0
117,Environment,Access to electricity ,C2_Workplace closing,Faroe Islands,FRO,100.0,percent of population,2018.0
